timestamp,bias,weight,pause_hours,reason
2026-02-22T12:07:39.810077+00:00,bullish,0.4,0,"Unittest: EZB senkt Zinsen"
2026-02-22T12:07:39.819975+00:00,bearish,0.5,0,"Unittest: SEC verklagt Boerse"
2026-02-22T12:07:39.827597+00:00,neutral,0.3,2,"Unittest: FOMC Pause"
2026-02-22T12:07:39.834280+00:00,neutral,0.3,0,"Unittest: keine Nachrichten"
2026-02-22T12:07:39.842125+00:00,bullish,0.3,0,"Unittest: abgelaufen"
2026-02-22T12:10:05.790463+00:00,bullish,0.4,0,"Unittest: EZB senkt Zinsen"
2026-02-22T12:10:05.800239+00:00,bearish,0.5,0,"Unittest: SEC verklagt Boerse"
2026-02-22T12:10:05.807713+00:00,neutral,0.3,2,"Unittest: FOMC Pause"
2026-02-22T12:10:05.815233+00:00,neutral,0.3,0,"Unittest: keine Nachrichten"
2026-02-22T12:10:05.823302+00:00,bullish,0.3,0,"Unittest: abgelaufen"
2026-02-28T14:45:23.684075+00:00,bearish,0.3,0,"US-Angriff auf Iran"
2026-02-28T15:47:30.325492+00:00,bearish,0.3,0,"US-Angriff auf Iran"
